speaker_id,accent,word,distance,n_ref,speaker_dur,am_dur,norm_dist,all_dur
speaker_01,Nigerian,helps,2.229802673079915,6,0.36,0.12154,0.1238779,0.16204
speaker_01,Nigerian,me,10.853530862170276,6,0.74,0.08923,0.2933387,0.14231
speaker_01,Nigerian,catch,5.8178461312824865,6,0.5,0.11846,0.2327138,0.13804
speaker_01,Nigerian,mistakes,7.548974911593787,6,0.54,0.12308,0.2795917,0.18431
speaker_01,Nigerian,early,19.28869042123724,5,1.06,0.275,0.3639376,0.34417
speaker_01,Nigerian,looking,3.317862421721795,2,0.32,0.04615,0.2073664,0.09615
speaker_01,Nigerian,to,5.756710853309263,2,0.44,0.06462,0.2616687,0.09547
speaker_09,Nigerian,i,21.95702967615502,13,0.8,1.16615,0.3765717,0.46557
speaker_09,Nigerian,graduated,11.726009029318222,13,0.78,0.71077,0.3006669,0.65098
speaker_09,Nigerian,about,2.7631848207801935,13,0.28,0.36308,0.1522093,0.41456
speaker_09,Nigerian,three,2.1681873971640013,13,0.22,0.32,0.1355117,0.32538
speaker_09,Nigerian,years,1.0615347597865097,13,0.24,0.24154,0.0878978,0.25231
speaker_09,Nigerian,ago,2.636237344246228,13,0.28,0.32769,0.1608971,0.31154
speaker_09,Nigerian,and,3.5346360679109674,13,0.46,0.31077,0.1536798,0.36441
speaker_09,Nigerian,i've,2.6885156811428867,13,0.18,0.27385,0.1963523,0.23409
speaker_09,Nigerian,been,1.5326974337820236,13,0.14,0.11077,0.2189568,0.16423
speaker_09,Nigerian,working,1.4670140043974296,13,0.22,0.27077,0.108359,0.29885
speaker_09,Nigerian,in,1.935244034857284,13,0.28,0.23692,0.1382317,0.22731
speaker_09,Nigerian,customer,3.5205836941349755,13,0.42,0.29385,0.1676468,0.34769
speaker_09,Nigerian,service,3.150884609581033,12,0.34,0.415,0.1518499,0.47224
speaker_09,Nigerian,client,3.0921897639605325,13,0.38,0.30769,0.1627468,0.34776
speaker_09,Nigerian,facing,2.872275119276045,5,0.3,0.228,0.191485,0.3288
speaker_09,Nigerian,roles,5.334139833669894,13,0.52,0.25385,0.2051592,0.32122
speaker_09,Nigerian,since,3.303206940784115,13,0.4,0.32154,0.1651603,0.36078
speaker_09,Nigerian,then,2.508170678224629,13,0.4,0.40923,0.1225798,0.4284
speaker_09,Nigerian,most,5.599539189232988,13,0.06,0.41231,0.2716194,0.40077
speaker_09,Nigerian,recently,3.324576969833375,13,0.36,0.43846,0.1516474,0.47923
speaker_09,Nigerian,was,1.7879617928824147,13,0.18,0.17231,0.1986624,0.1949
speaker_09,Nigerian,at,2.1691985438949524,13,0.12,0.16769,0.2587118,0.19373
speaker_09,Nigerian,a,1.0125012099711037,13,0.06,0.11077,0.1828127,0.094
speaker_09,Nigerian,financial,2.612737662296046,13,0.36,0.30923,0.1451521,0.30173
speaker_09,Nigerian,services,9.453489662283957,12,0.68,0.44167,0.2780438,0.49895
speaker_09,Nigerian,firm,13.844162898169516,13,0.9,0.53692,0.3076481,0.52462
speaker_09,Nigerian,helping,11.765619533219102,13,0.76,0.50769,0.3096216,0.63654
speaker_09,Nigerian,onboard,2.912062872504015,12,0.38,0.33167,0.1532665,0.35191
speaker_09,Nigerian,clients,4.821272010933105,13,0.36,0.47538,0.2028367,0.55115
speaker_09,Nigerian,answer,2.867599284181334,13,0.34,0.34154,0.1679225,0.36612
speaker_09,Nigerian,their,1.9851051112160163,13,0.16,0.22,0.1804641,0.32392
speaker_09,Nigerian,questions,3.394464585581328,13,0.42,0.32615,0.1616412,0.33686
speaker_09,Nigerian,accounts,10.846249246655848,13,0.7,0.74154,0.2925337,0.76
speaker_09,Nigerian,really,1.342715282989126,13,0.26,0.23846,0.1032858,0.23774
speaker_09,Nigerian,enjoy,4.686190276476973,13,0.46,0.37385,0.2037474,0.3668
speaker_09,Nigerian,being,3.287623482857171,13,0.36,0.34154,0.1826457,0.30538
speaker_09,Nigerian,that,3.068439484662623,13,0.38,0.31231,0.1614968,0.3296
speaker_09,Nigerian,connection,9.517821789566495,13,0.68,0.34769,0.2799359,0.39654
speaker_09,Nigerian,between,7.737868170242412,13,0.56,0.42923,0.2763524,0.49115
