speaker_id,accent,word,distance,n_ref,speaker_dur,am_dur,norm_dist,all_dur
speaker_01,Nigerian,learned,1.3216011994468293,3,0.26,0.05231,0.1016616,0.1108
speaker_01,Nigerian,it's,5.064256582074907,3,0.32,0.06,0.316516,0.13922
speaker_01,Nigerian,way,2.71782419635953,2,0.26,0.02667,0.2090634,0.07878
speaker_01,Nigerian,better,4.149866099726479,3,0.46,0.05846,0.180429,0.14038
speaker_01,Nigerian,communicate,4.336286620064072,2,0.48,0.05538,0.1806786,0.10462
speaker_01,Nigerian,early,3.465417945061994,2,0.44,0.05077,0.157519,0.12625
speaker_01,Nigerian,when,3.65745890145512,2,0.42,0.04,0.1741647,0.14196
speaker_01,Nigerian,rather,5.540556684571648,2,0.58,0.04308,0.1910537,0.15115
speaker_01,Nigerian,than,3.255392635409195,2,0.32,0.02923,0.203462,0.06231
speaker_01,Nigerian,just,5.482945185291332,2,0.56,0.03077,0.1958195,0.06471
speaker_01,Nigerian,missing,3.01087239585031,2,0.4,0.04308,0.1505436,0.08275
speaker_09,Nigerian,earlier,32.03996100958501,13,1.48,1.17538,0.4329724,1.17673
speaker_09,Nigerian,this,2.074906317970451,13,0.28,0.33385,0.1243031,0.31423
speaker_09,Nigerian,year,2.2430748318603557,13,0.36,0.36923,0.1214999,0.38654
speaker_09,Nigerian,i,3.214228599839342,13,0.28,0.15846,0.2295878,0.22445
speaker_09,Nigerian,committed,2.1554066936727088,13,0.26,0.29077,0.1482555,0.31769
speaker_09,Nigerian,to,2.6965821135792245,13,0.3,0.25538,0.1797721,0.22204
speaker_09,Nigerian,finishing,1.5091984218217882,13,0.28,0.28308,0.1066281,0.33551
speaker_09,Nigerian,a,2.8573206018141946,13,0.3,0.26,0.190488,0.14945
speaker_09,Nigerian,report,1.7943196909324637,13,0.2,0.26308,0.1364103,0.2532
speaker_09,Nigerian,by,2.1337750908201394,13,0.34,0.32923,0.1255162,0.36943
speaker_09,Nigerian,thursday,2.73941054141632,13,0.38,0.34923,0.1441795,0.40113
speaker_09,Nigerian,for,9.405230025997712,13,0.68,0.33538,0.2766244,0.42
speaker_09,Nigerian,friday,2.890459959927126,13,0.36,0.24308,0.1605811,0.23689
speaker_09,Nigerian,meeting,4.418517530016377,13,0.56,0.49846,0.1578042,0.38962
speaker_09,Nigerian,but,0.7848537912099793,11,0.04,0.08308,0.1889463,0.08039
speaker_09,Nigerian,on,2.4116367914528927,13,0.2,0.14615,0.2411637,0.17214
speaker_09,Nigerian,wednesday,7.3894821914113,13,0.62,0.48615,0.2383704,0.51137
speaker_09,Nigerian,my,3.907003578122369,13,0.3,0.19077,0.2604669,0.17673
speaker_09,Nigerian,manager,3.579923347546285,13,0.32,0.33846,0.2115409,0.36519
speaker_09,Nigerian,needed,2.074468936927048,13,0.3,0.30615,0.1355181,0.30431
speaker_09,Nigerian,help,3.0464986157675704,13,0.38,0.32923,0.160342,0.39132
speaker_09,Nigerian,with,2.128420633113005,13,0.18,0.25231,0.1687163,0.24113
speaker_09,Nigerian,an,2.4898764820883788,13,0.16,0.13692,0.3112346,0.1812
speaker_09,Nigerian,urgent,2.1049688378041256,13,0.34,0.30462,0.1238217,0.34769
speaker_09,Nigerian,compliance,3.1221810115419686,13,0.44,0.36769,0.1419173,0.37647
speaker_09,Nigerian,request,13.825910888837608,13,0.96,0.45231,0.2880398,0.5372
speaker_09,Nigerian,that,8.469172683586017,13,0.6,0.4,0.2823058,0.51492
speaker_09,Nigerian,had,2.397029912728416,13,0.18,0.17231,0.2663367,0.21292
speaker_09,Nigerian,same,1.9349304681769264,13,0.28,0.22462,0.1382093,0.2984
speaker_09,Nigerian,deadline,9.499637064046867,13,0.64,0.61077,0.2968637,0.3658
speaker_09,Nigerian,realized,2.567002070920938,13,0.34,0.33231,0.1510001,0.36857
speaker_09,Nigerian,couldn't,2.1337029182299183,12,0.28,0.24333,0.1524074,0.2902
speaker_09,Nigerian,do,2.612932321929356,13,0.16,0.13538,0.3266165,0.16385
speaker_09,Nigerian,both,3.5112927847396964,13,0.42,0.28769,0.1672044,0.28654
speaker_09,Nigerian,so,8.237742835359883,13,0.38,0.46462,0.3546048,0.36909
speaker_09,Nigerian,talked,1.5626697604360449,13,0.28,0.25846,0.1116193,0.305
speaker_09,Nigerian,about,2.85704308284707,13,0.34,0.31385,0.1680614,0.35192
speaker_09,Nigerian,prioritizing,8.8455229814173,13,0.7,0.75538,0.2341992,0.81294
speaker_09,Nigerian,the,1.690537789283753,13,0.18,0.19538,0.1730472,0.18038
speaker_09,Nigerian,issue,8.193817430093068,13,0.62,0.53692,0.2643167,0.59
speaker_09,Nigerian,and,6.445455700691432,13,0.04,0.44154,0.2919544,0.33909
speaker_09,Nigerian,then,4.14866925205113,13,0.38,0.18462,0.218351,0.21962
speaker_09,Nigerian,reached,2.694053736125185,13,0.3,0.25231,0.1796036,0.26
speaker_09,Nigerian,out,2.4000502873648406,13,0.24,0.23077,0.2000042,0.25231
speaker_09,Nigerian,client,2.542126613358375,13,0.3,0.24615,0.1694751,0.26028
speaker_09,Nigerian,directly,2.7132344584117964,13,0.38,0.36,0.1428018,0.41808
speaker_09,Nigerian,let,2.742370620355859,13,0.2,0.17385,0.2742371,0.21769
speaker_09,Nigerian,them,2.091867105860423,13,0.2,0.16615,0.2091867,0.14275
speaker_09,Nigerian,know,2.2822848416408017,13,0.22,0.17692,0.2074804,0.21423
speaker_09,Nigerian,would,2.679628771903008,11,0.24,0.23167,0.2233024,0.23234
speaker_09,Nigerian,be,2.143729706965462,13,0.2,0.16308,0.214373,0.19923
speaker_09,Nigerian,day,2.8746608174928507,13,0.24,0.16,0.2395551,0.25357
speaker_09,Nigerian,late,2.82259672025295,13,0.38,0.41692,0.1354013,0.525
speaker_09,Nigerian,apologized,5.53509588638717,13,0.44,0.54615,0.2026937,0.51667
speaker_09,Nigerian,we,2.1387630239250344,11,0.2,0.12364,0.2138763,0.17833
speaker_09,Nigerian,rescheduled,7.070973332552095,13,0.54,0.60462,0.2338999,0.62235
speaker_09,Nigerian,monday,2.856328827856407,12,0.44,0.39538,0.1298331,0.44269
speaker_07,Nigerian,earlier,40.89059972495487,13,1.96,1.17538,0.417251,1.17673
speaker_07,Nigerian,this,2.793874594573059,13,0.32,0.33385,0.167375,0.31423
speaker_07,Nigerian,year,3.201809159733804,13,0.46,0.36923,0.1392091,0.38654
speaker_07,Nigerian,i,4.924040383373584,13,0.38,0.15846,0.25916,0.22445
speaker_07,Nigerian,committed,2.7304651659371597,13,0.3,0.29077,0.182031,0.31769
speaker_07,Nigerian,to,1.6583314747444615,13,0.26,0.25538,0.127564,0.22204
speaker_07,Nigerian,finishing,1.6658532848835643,13,0.26,0.28308,0.1176962,0.33551
speaker_07,Nigerian,a,1.9694270800435876,13,0.24,0.26,0.1514944,0.14945
speaker_07,Nigerian,report,1.5551287102560207,13,0.26,0.26308,0.1182262,0.2532
speaker_07,Nigerian,by,3.137649770998623,13,0.44,0.32923,0.1426204,0.36943
speaker_07,Nigerian,thursday,2.8706094294781677,13,0.32,0.34923,0.1643961,0.40113
